,names,link,research_field,subfaculty,faculty,link_CU,research_interest
416,Jorge López-Fernández,https://scholar.google.co.uk/citations?hl=en&user=SEUSw74AAAAJ,"Behaviour Change applied to physical activity, Sports management, Sports surfaces, Sports medicine",,,,
417,Soroush Faramehr,https://scholar.google.co.uk/citations?hl=en&user=DhLBUpIAAAAJ,Power Electronics,,,https://pureportal.coventry.ac.uk/en/persons/soroush-faramehr,"Research Interests: His research interest lies in more efficient compound semiconductor electronic devices driven by automotive, space, aerospace, renewables and industrial electronics sectors to leave less footprint on the environment. They include wide bandgap power semiconductor devices, wide bandgap current transducers, ultra-wide bandgap materials and vertical field effect transistors."
418,Luisa Tarczynski-Bowles,https://scholar.google.co.uk/citations?hl=en&user=3IjAsj8AAAAJ,"Early Literacy Development, Interventions, Developmental Psychology",,,,
419,michaelina jakala,https://scholar.google.co.uk/citations?hl=en&user=waoMWGgAAAAJ,,,,,
420,Caroline Lambert,https://scholar.google.co.uk/citations?hl=en&user=VDgLgMsAAAAJ,"unsteady aerodynamics, engineering education innovation","School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/caroline-lambert-lambert,Research Interests: Flight dynamics; Experimental aerodynamics; Engineering education theory; Fluid mechanics and experimentation
421,Rona Epstein,https://scholar.google.co.uk/citations?hl=en&user=W6hmvhMAAAAJ,law,,,,
422,Melissa Avdeeff,https://scholar.google.co.uk/citations?hl=en&user=SvMV9kUAAAAJ,"Musicology, Popular Music, Media and Cultural Studies, Technology and Society",School of Media and Performing Arts,Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/melissa-avdeeff,None: None
423,Tom Rogers,https://scholar.google.co.uk/citations?hl=en&user=vOlBEd8AAAAJ,"Clean energy systems, wind resource analysis, innovation systems","School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/tom-rogers,External positions: None
424,Andrew Morris BSc (Hons) MRes RD,https://scholar.google.co.uk/citations?hl=en&user=D5hwqU0AAAAJ,"Nutritional Biochemistry, Nutrition and Dietetics, Food Environments, Micronutrients",,,,
425,Norlaily Yaacob,https://scholar.google.co.uk/citations?hl=en&user=uET5OFMAAAAJ,"Grid Computing, Cloud Computing, Real-Time Systems, Concurrent Programming",,,,
